;date;energy_reserves;minerals_reserves;food_reserves;consumer_goods_reserves;alloys_reserves;volatile_motes_reserves;exotic_gases_reserves;rare_crystals_reserves;living_metal_reserves;zro_reserves;dark_matter_reserves;nanites_reserves;minor_artifacts_reserves;unity_reserves;energy_income;minerals_income;food_income;consumer_goods_income;alloys_income;volatile_motes_income;exotic_gases_income;rare_crystals_income;living_metal_income;zro_income;dark_matter_income;nanites_income;minor_artifacts_income;unity_income;physics_research_income;society_research_income;engineering_research_income
0;2200.01.03;100.0;100.0;200.0;100.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;76.1438;28.24;28.04;3.18;12.9431;0.0;0.0;0.0;0;0.0;0.0;0;0.0;26.2;21.12;21.12;24.12
1;2200.02.03;185.9338;228.24;128.04;53.18;12.9431;0.0;0.0;0.0;0;0.0;0.0;0;0.0;26.2;75.9338;28.24;28.04;3.18;12.9431;0.0;0.0;0.0;0;0.0;0.0;0;0.0;26.2;21.12;21.12;24.12
2;2200.03.03;261.0276;256.48;156.08;56.36;25.8862;0.0;0.0;0.0;0;0.0;0.0;0;0.0;52.4;75.0938;28.24;28.04;3.18;12.9431;0.0;0.0;0.0;0;0.0;0.0;0;0.0;26.2;21.12;21.12;24.12
3;2200.04.03;336.3314;284.72;184.12;59.54;38.8293;0.0;0.0;0.0;0;0.0;0.0;0;0.0;78.6;75.3038;28.24;28.04;3.18;12.9431;0.0;0.0;0.0;0;0.0;0.0;0;0.0;26.2;21.12;21.12;24.12
4;2200.05.03;411.6352;312.96;212.16;62.72;51.7724;0.0;0.0;0.0;0;0.0;0.0;0;0.0;104.8;75.3038;28.24;28.04;3.18;12.9431;0.0;0.0;0.0;0;0.0;0.0;0;0.0;26.2;21.12;21.12;24.12
5;2200.06.03;486.939;41.2;240.2;65.9;64.7155;0.0;0.0;0.0;0;0.0;0.0;0;0.0;131.0;75.3038;28.24;28.04;3.18;12.9431;0.0;0.0;0.0;0;0.0;0.0;0;0.0;26.2;21.12;21.12;24.12
6;2200.07.03;562.2428;69.44;268.24;69.08;77.6586;0.0;0.0;0.0;0;0.0;0.0;0;0.0;157.2;75.3038;28.24;28.04;3.18;12.9431;0.0;0.0;0.0;0;0.0;0.0;0;0.0;26.2;21.12;21.12;24.12
7;2200.08.03;637.3366;97.68;304.28;72.26;90.6017;0.0;0.0;0.0;0;0.0;0.0;0;0.0;42.2091;75.0938;28.24;36.04;3.18;12.9431;0.0;0.0;0.0;0;0.0;0.0;0;0.0;22.2;21.12;21.12;24.12
8;2200.09.03;712.4304;125.92;340.32;75.44;103.5448;0.0;0.0;0.0;0;0.0;0.0;0;0.0;64.4091;75.0938;28.24;36.04;3.18;12.9431;0.0;0.0;0.0;0;0.0;0.0;0;0.0;22.2;21.12;21.12;24.12
9;2200.10.03;787.5242;154.16;376.36;78.62;116.4879;0.0;0.0;0.0;0;0.0;0.0;0;0.0;86.6091;75.0938;28.24;36.04;3.18;12.9431;0.0;0.0;0.0;0;0.0;0.0;0;0.0;22.2;21.12;21.12;24.12
10;2200.11.03;862.618;182.4;412.4;81.8;129.431;0.0;0.0;0.0;0;0.0;0.0;0;0.0;108.8091;75.0938;28.24;36.04;3.18;12.9431;0.0;0.0;0.0;0;0.0;0.0;0;0.0;22.2;21.12;21.12;24.12
11;2200.12.03;937.5018;110.64;448.44;84.98;142.3741;0.0;0.0;0.0;0;0.0;0.0;0;0.0;131.0091;74.8838;28.24;36.04;3.18;12.9431;0.0;0.0;0.0;0;0.0;0.0;0;0.0;22.2;21.12;21.12;24.12
