;date;species_name;num_pop
0;2200.01.15;罗鹏;18
1;2200.07.15;罗鹏;18
2;2201.01.15;罗鹏;18
3;2201.07.15;罗鹏;18
4;2202.01.15;罗鹏;18
5;2202.07.15;罗鹏;18
6;2203.01.15;罗鹏;18
7;2203.07.15;罗鹏;18
8;2204.01.15;罗鹏;19
9;2204.07.15;罗鹏;19
10;2205.01.15;罗鹏;19
11;2205.07.15;罗鹏;19
12;2206.01.15;罗鹏;19
13;2206.07.15;罗鹏;20
14;2207.01.15;罗鹏;20
15;2207.07.15;罗鹏;20
16;2208.01.15;罗鹏;20
17;2208.07.15;罗鹏;20
18;2209.01.15;罗鹏;21
19;2209.07.15;罗鹏;21
20;2210.01.15;罗鹏;21
21;2210.07.15;罗鹏;21
22;2211.01.15;罗鹏;21
23;2211.07.15;罗鹏;22
24;2212.01.15;罗鹏;23
25;2212.07.15;罗鹏;23
26;2213.01.15;罗鹏;23
27;2213.07.15;罗鹏;23
28;2214.01.15;罗鹏;23
29;2214.07.15;罗鹏;23
30;2215.01.15;罗鹏;24
31;2215.07.15;罗鹏;25
32;2216.01.15;罗鹏;25
33;2216.07.15;罗鹏;25
34;2217.01.15;罗鹏;25
35;2217.07.15;罗鹏;26
36;2218.01.15;罗鹏;26
37;2218.07.15;罗鹏;26
38;2219.01.15;罗鹏;26
39;2219.07.15;罗鹏;27
40;2220.01.15;罗鹏;28
41;2220.07.15;罗鹏;28
42;2221.01.15;罗鹏;28
43;2221.07.15;罗鹏;29
44;2222.01.15;罗鹏;29
45;2222.07.15;罗鹏;29
46;2223.01.15;罗鹏;29
47;2223.07.15;罗鹏;30
48;2224.01.15;罗鹏;31
49;2224.07.15;罗鹏;31
50;2225.01.15;罗鹏;31
51;2225.07.15;罗鹏;32
52;2226.01.15;罗鹏;32
53;2226.07.15;罗鹏;33
54;2227.01.15;罗鹏;33
55;2227.07.15;罗鹏;34
56;2228.01.15;罗鹏;35
57;2228.07.15;罗鹏;35
58;2229.01.15;罗鹏;36
59;2229.07.15;罗鹏;36
60;2230.01.15;罗鹏;36
61;2230.07.15;罗鹏;37
62;2231.01.15;罗鹏;38
63;2231.07.15;罗鹏;38
64;2232.01.15;罗鹏;38
65;2232.07.15;罗鹏;38
66;2233.01.15;罗鹏;39
67;2233.07.15;罗鹏;40
68;2234.01.15;罗鹏;40
69;2234.07.15;罗鹏;40
70;2235.01.15;罗鹏;40
71;2235.07.15;罗鹏;42
72;2235.07.15;阿赞提;2
73;2235.07.15;哈特拉达;2
74;2235.07.15;伊尔祖库;2
75;2236.01.15;罗鹏;42
76;2236.01.15;阿赞提;2
77;2236.01.15;哈特拉达;2
78;2236.01.15;伊尔祖库;2
79;2236.07.15;罗鹏;42
80;2236.07.15;阿赞提;2
81;2236.07.15;哈特拉达;2
82;2236.07.15;伊尔祖库;2
83;2237.01.15;罗鹏;42
84;2237.01.15;阿赞提;2
85;2237.01.15;哈特拉达;2
86;2237.01.15;伊尔祖库;2
87;2237.07.15;罗鹏;42
88;2237.07.15;阿赞提;2
89;2237.07.15;哈特拉达;2
90;2237.07.15;伊尔祖库;2
91;2238.01.15;罗鹏;44
92;2238.01.15;阿赞提;2
93;2238.01.15;哈特拉达;2
94;2238.01.15;伊尔祖库;2
95;2238.07.15;罗鹏;44
96;2238.07.15;阿赞提;2
97;2238.07.15;哈特拉达;2
98;2238.07.15;伊尔祖库;2
99;2239.01.15;罗鹏;44
100;2239.01.15;阿赞提;2
101;2239.01.15;哈特拉达;2
102;2239.01.15;伊尔祖库;2
103;2239.07.15;罗鹏;44
104;2239.07.15;阿赞提;2
105;2239.07.15;哈特拉达;2
106;2239.07.15;伊尔祖库;2
107;2240.01.15;罗鹏;45
108;2240.01.15;阿赞提;2
109;2240.01.15;哈特拉达;2
110;2240.01.15;伊尔祖库;2
111;2240.07.15;罗鹏;46
112;2240.07.15;阿赞提;2
113;2240.07.15;哈特拉达;2
114;2240.07.15;伊尔祖库;2
115;2241.01.15;罗鹏;46
116;2241.01.15;阿赞提;2
117;2241.01.15;哈特拉达;2
118;2241.01.15;伊尔祖库;4
119;2241.07.15;罗鹏;46
120;2241.07.15;阿赞提;2
121;2241.07.15;哈特拉达;2
122;2241.07.15;伊尔祖库;4
123;2242.01.15;罗鹏;46
124;2242.01.15;阿赞提;2
125;2242.01.15;哈特拉达;2
126;2242.01.15;伊尔祖库;4
127;2242.07.15;罗鹏;47
128;2242.07.15;阿赞提;2
129;2242.07.15;哈特拉达;2
130;2242.07.15;伊尔祖库;4
131;2243.01.15;罗鹏;48
132;2243.01.15;阿赞提;2
133;2243.01.15;哈特拉达;4
134;2243.01.15;伊尔祖库;4
135;2243.07.15;罗鹏;48
136;2243.07.15;阿赞提;2
137;2243.07.15;哈特拉达;4
138;2243.07.15;伊尔祖库;5
139;2244.01.15;罗鹏;48
140;2244.01.15;阿赞提;2
141;2244.01.15;哈特拉达;4
142;2244.01.15;伊尔祖库;7
143;2244.07.15;罗鹏;48
144;2244.07.15;阿赞提;2
145;2244.07.15;哈特拉达;4
146;2244.07.15;伊尔祖库;7
147;2245.01.15;罗鹏;48
148;2245.01.15;卡拉布纳;1
149;2245.01.15;阿赞提;2
150;2245.01.15;哈特拉达;4
151;2245.01.15;伊尔祖库;7
152;2245.07.15;罗鹏;48
153;2245.07.15;雷夫索里特;40
154;2245.07.15;卡拉布纳;1
155;2245.07.15;阿赞提;2
156;2245.07.15;哈特拉达;4
157;2245.07.15;伊尔祖库;8
158;2246.01.15;罗鹏;47
159;2246.01.15;魁尔努达尔;1
160;2246.01.15;雷夫索里特;40
161;2246.01.15;卡拉布纳;1
162;2246.01.15;阿赞提;2
163;2246.01.15;哈特拉达;4
164;2246.01.15;伊尔祖库;8
165;2246.07.15;罗鹏;47
166;2246.07.15;魁尔努达尔;1
167;2246.07.15;雷夫索里特;40
168;2246.07.15;卡拉布纳;1
169;2246.07.15;阿赞提;3
170;2246.07.15;哈特拉达;4
171;2246.07.15;伊尔祖库;8
172;2247.01.15;罗鹏;47
173;2247.01.15;瑟姆拉;128
174;2247.01.15;魁尔努达尔;1
175;2247.01.15;雷夫索里特;40
176;2247.01.15;卡拉布纳;1
177;2247.01.15;阿赞提;3
178;2247.01.15;哈特拉达;4
179;2247.01.15;伊尔祖库;8
180;2247.07.15;罗鹏;48
181;2247.07.15;瑟姆拉;110
182;2247.07.15;魁尔努达尔;1
183;2247.07.15;雷夫索里特;40
184;2247.07.15;卡拉布纳;1
185;2247.07.15;阿赞提;3
186;2247.07.15;哈特拉达;4
187;2247.07.15;伊尔祖库;9
188;2248.01.15;罗鹏;48
189;2248.01.15;瑟姆拉;92
190;2248.01.15;魁尔努达尔;1
191;2248.01.15;雷夫索里特;40
192;2248.01.15;卡拉布纳;1
193;2248.01.15;阿赞提;3
194;2248.01.15;哈特拉达;4
195;2248.01.15;柯林斯;1
196;2248.01.15;伊尔祖库;9
197;2248.07.15;罗鹏;49
198;2248.07.15;瑟姆拉;74
199;2248.07.15;魁尔努达尔;1
200;2248.07.15;雷夫索里特;40
201;2248.07.15;卡拉布纳;1
202;2248.07.15;阿赞提;3
203;2248.07.15;哈特拉达;5
204;2248.07.15;柯林斯;1
205;2248.07.15;伊尔祖库;9
206;2249.01.15;罗鹏;49
207;2249.01.15;瑟姆拉;61
208;2249.01.15;魁尔努达尔;1
209;2249.01.15;雷夫索里特;40
210;2249.01.15;卡拉布纳;1
211;2249.01.15;阿赞提;3
212;2249.01.15;哈特拉达;5
213;2249.01.15;柯林斯;1
214;2249.01.15;伊尔祖库;10
215;2249.07.15;罗鹏;49
216;2249.07.15;瑟姆拉;55
217;2249.07.15;魁尔努达尔;1
218;2249.07.15;雷夫索里特;41
219;2249.07.15;卡拉布纳;1
220;2249.07.15;阿赞提;3
221;2249.07.15;哈特拉达;5
222;2249.07.15;柯林斯;1
223;2249.07.15;伊尔祖库;10
224;2250.01.15;罗鹏;49
225;2250.01.15;瑟姆拉;49
226;2250.01.15;魁尔努达尔;1
227;2250.01.15;雷夫索里特;42
228;2250.01.15;卡拉布纳;2
229;2250.01.15;阿赞提;3
230;2250.01.15;哈特拉达;5
231;2250.01.15;哈沃拉;1
232;2250.01.15;柯林斯;1
233;2250.01.15;伊尔祖库;11
234;2250.07.15;罗鹏;50
235;2250.07.15;瑟姆拉;43
236;2250.07.15;魁尔努达尔;1
237;2250.07.15;雷夫索里特;42
